technology,file,legacy_names,vendor_website,vendor_demo_url,vendor_docs_url,customer_url_1,customer_url_2,customer_url_3,unverifiable_public,priority,notes
Qualtrics,higher-ed-infra.json,,https://www.qualtrics.com/core-xm/,,,https://qualtrics.msu.edu/,https://rit.qualtrics.com/,,,medium,umich.qualtrics.com requires institutional SSO; qualtrics.msu.edu and rit.qualtrics.com are accessible portals. Embedded survey forms on public pages also detectable.
Raiser's Edge,higher-ed-infra.json,,https://www.blackbaud.com/products/blackbaud-raisers-edge-nxt,,,,,,,medium,
Rave Mobile Safety,higher-ed-infra.json,,https://www.ravemobilesafety.com,,,,,,,medium,
Ready Education,higher-ed-infra.json,,https://readyeducation.com,,,,,,,medium,
Rise Vision,higher-ed-infra.json,,https://www.risevision.com,,,,,,,medium,
SAML,higher-ed-infra.json,,,,,,,,,medium,
Sajari,higher-ed-infra.json,,https://www.sajari.com,,,,,,,medium,
Salesforce Education Cloud,higher-ed-infra.json,Salesforce,https://www.salesforce.com/products/education/,https://www.salesforce.com/form/sfdo/edu/education-cloud-demo/,https://developer.salesforce.com/developer-centers/education-cloud,,,,true,high,Customer instances at *.my.salesforce.com — behind Salesforce org login; no public-facing observable signals without auth
Scala Digital Signage,higher-ed-infra.json,,https://www.scala.com,,,,,,,medium,
ScreenCloud,higher-ed-infra.json,,https://screencloud.com,,,,,,,medium,
Screencast-O-Matic,higher-ed-infra.json,,https://screencast-o-matic.com,,,,,,,medium,
SearchBlox,higher-ed-infra.json,,https://www.searchblox.com,,,,,,,medium,
Shibboleth,higher-ed-infra.json,,https://shibboleth.net,,https://shibboleth.atlassian.net,https://shibboleth.umich.edu/idp/profile/SAML2/Redirect/SSO,https://idp.ucsd.edu/idp/profile/SAML2/Redirect/SSO,,,medium,IdP SSO endpoints are publicly accessible and return Shibboleth-specific content. /Shibboleth.sso/Metadata probe path handles SP-side detection.
SirsiDynix Symphony,higher-ed-infra.json,,https://www.sirsidynix.com/products/symphony,,,,,,,medium,
Site Search 360,higher-ed-infra.json,,https://www.sitesearch360.com,,,,,,,medium,
Slate,higher-ed-infra.json,Technolutions Slate,https://technolutions.com/slate,https://technolutions.com/slate-demo-experience,https://knowledge.technolutions.net/,https://engage.lmu.edu/apply/,https://apply.northwestern.edu/,,,high,apply.baylor.edu confirmed Drupal — removed. Northwestern and LMU confirmed Slate. mx.technolutions.net ping fires on application pages.
Starfish,higher-ed-infra.json,Starfish Retention Solutions,https://www.hobsons.com/solutions/student-success/starfish/,https://pages.eab.com/starfish-demo-request.html,https://eab.com/solutions/starfish/,,,,true,high,EAB Starfish portals are behind institutional SSO; no public-facing observable trace. Detectable only via institutional IT pages mentioning it.
Summon,higher-ed-infra.json,,https://www.proquest.com/products-services/summon.html,,,,,,,medium,
Swiftype,higher-ed-infra.json,,https://www.elastic.co/enterprise-search/,,,,,,,medium,
TouchNet,higher-ed-infra.json,,https://www.touchnet.com,,,https://secure.touchnet.com/C20788_tsa/web/,https://secure.touchnet.net/C20099_tsa/web/,,,medium,/C{digits}_tsa/web/ path pattern is distinctive; both secure.touchnet.com and .net in use
Transact Campus,higher-ed-infra.json,Blackboard Transact,https://www.blackboard.com/campus-solutions/campus-card,https://transactpulse.transactcampus.com/,https://www.transactcampus.com/solutions/integrated-payments,https://payments.transactcampus.com,,,,high,"Transact-hosted payment portals; now rebranding as Illumia. Legacy: Blackboard Transact, Heartland eAccounts"
VidGrid,higher-ed-infra.json,,https://www.vidgrid.com,,,,,,,medium,
Vimeo,higher-ed-infra.json,,https://vimeo.com,,,,,,,low,
Widen Collective,higher-ed-infra.json,,https://www.widen.com,,,,,,,medium,
Wistia,higher-ed-infra.json,,https://wistia.com,,https://wistia.com/support,,,,,medium,
WorldCat Discovery,higher-ed-infra.json,,https://www.oclc.org/en/worldcat-discovery.html,,,,,,,medium,
YouTube,higher-ed-infra.json,,https://youtube.com,,,,,,,low,
YuJa,higher-ed-infra.json,,https://www.yuja.com,,,,,,,medium,
Zimbra,higher-ed-infra.json,,https://www.zimbra.com,,,,,,,medium,
Anthology Encompass,higher-ed-infra.json,,https://www.imodules.com,,,,,,,medium,
